ID,peer,activ,adjust,satis
328,4,4,2,3.66666666666667
329,1.5,3,3,2.66666666666667
330,3,2,2,2.66666666666667
331,4,4,3,3
332,2.5,3,3,4
333,3,4,3,3.66666666666667
334,2,3,2,3
335,4,3,3,3
336,3,3,3,3.66666666666667
337,4,4,4,4
338,3,3,2,3.33333333333333
339,3.5,3,3,2.33333333333333
340,2.5,3,3,2.66666666666667
341,3,3,2,3
342,4,3,3,3.66666666666667
343,2,2,1,1
344,3,3,3,3
345,2.5,3,2,2.66666666666667
346,4,4,3,3.66666666666667
347,2,3,1,3
348,3,3,1,1
349,2.5,3,3,2.66666666666667
350,2.5,2,2,4
351,3,3,2,2.66666666666667
352,3,2,2,2
353,3,2,2,1.66666666666667
354,3.5,4,3,3.33333333333333
355,2,3,3,3
356,3,3,3,3.66666666666667
357,1.5,2,2,1
358,3,4,3,4
359,3.5,4,3,3
360,2.5,4,3,3
361,3.5,3,3,3.66666666666667
362,3,4,3,4
363,2,2,2,2
364,3,3,3,2.66666666666667
365,4,3,3,3
366,2,3,2,2
367,2,3,2,4
368,2,2,2,2.33333333333333
369,2.5,3,3,2.66666666666667
370,1.5,2,2,2.66666666666667
371,3,4,3,3.66666666666667
372,3.5,2,1,3.33333333333333
373,4,4,2,3.33333333333333
374,2.5,3,2,3
375,3,4,3,3
376,3,4,4,4
377,3,3,2,3
378,1.5,3,2,3
379,3,3,3,2.66666666666667
380,3.5,3,2,3
381,3.5,4,2,3.66666666666667
382,3.5,2,2,1.66666666666667
383,3,3,4,3
384,3,2,2,2.33333333333333
385,3,3,2,3.33333333333333
386,3,3,2,3
387,2.5,2,4,3
388,2.5,3,2,2.33333333333333
389,2,2,1,1
390,3,2,3,1
391,2.5,2,2,2
392,2,3,3,4
393,4,4,2,2
394,3,2,1,2.66666666666667
395,3,3,3,1.66666666666667
396,3,3,3,4
397,2.5,4,3,3.66666666666667
398,2.5,3,3,3
399,3,2,2,2
400,4,3,3,3.33333333333333
401,3.5,4,3,2.66666666666667
402,2.5,2,3,3
403,2.5,3,3,3
404,2,3,1,2
405,3.5,2,2,2.66666666666667
406,2.5,3,3,3
407,3,3,3,3
408,3.5,4,3,3.33333333333333
409,2.5,3,3,2.66666666666667
410,4,3,3,3
411,3,3,2,3
412,3,3,3,3
413,3,4,4,3.33333333333333
414,3,4,3,3.66666666666667
415,3,3,3,2.33333333333333
416,3,3,3,2.33333333333333
417,3,3,3,3
418,4,4,4,3.33333333333333
419,2,3,3,2.66666666666667
420,3,3,3,3
421,1,1,2,1.66666666666667
422,2.5,4,4,4
423,2,1,1,1
424,3,2,2,2.33333333333333
425,3.5,4,3,2.33333333333333
426,2.5,3,2,2
427,2.5,3,2,3
428,3,4,3,3
429,3,3,2,2.33333333333333
430,3.5,2,2,2.66666666666667
431,2.5,3,3,4
432,3,3,3,2.66666666666667
433,3,2,2,2
434,3.5,4,2,4
435,3,2,2,2.66666666666667
436,3.5,4,4,3.66666666666667
437,3,3,3,3
438,2.5,2,2,2
439,1,1,1,1
440,3,3,3,3
441,3,4,3,4
442,3,3,3,2.66666666666667
443,4,4,3,3.66666666666667
444,3.5,4,4,4
445,2,3,3,3
446,1.5,2,3,1.66666666666667
447,3,3,3,3
448,2.5,3,3,2
449,3,2,2,1
450,4,2,4,2.33333333333333
451,2.5,3,2,3.66666666666667
452,3,4,3,3
453,3,2,3,3
454,3.5,4,3,3.66666666666667
455,3,2,2,2.66666666666667
456,2,3,2,3
457,2,2,2,2
