id,pos,neg,estm,cmp
74,2.2,3,1.4,2.83333333333333
75,1,4.8,1.4,2.66666666666667
76,3.3,2.2,3.2,2
77,1,2.8,1.4,2.33333333333333
78,1,3.6,2,3.16666666666667
79,3.1,3.8,2,2.83333333333333
80,1.6,2.9,2,3.33333333333333
81,2,2.8,1,2
82,1.8,3,2.2,2.33333333333333
83,2.4,3.3,2.4,3.66666666666667
84,2.1,3,2,2.33333333333333
85,1.4,4.7,1.8,2.33333333333333
86,2.8,2.6,2.6,2.66666666666667
87,1.9,4.4,1.2,2.16666666666667
88,1,2.8,2,2.83333333333333
89,1.1,4.7,1,1.66666666666667
90,2.8,3,2.4,3.33333333333333
91,3,3.1,1.6,2
92,2.1,4,1,2.33333333333333
93,1.5,3.9,2.2,2.33333333333333
94,1.8,2.3,2.2,3.33333333333333
95,1.4,4.2,1.2,3.5
96,3,2.8,2.6,3.16666666666667
97,2,3.4,2.4,3
98,3.6,2.8,3,2.33333333333333
99,2.2,2.7,2.4,3.33333333333333
100,2.4,4.4,1,2
101,1.8,2.4,2.2,2.83333333333333
102,2.3,3.4,2.6,3
103,1.2,3.5,1.6,3
104,2.6,3.5,1.6,1.83333333333333
105,2.3,2.4,3.2,2.83333333333333
106,3.4,3.2,2.2,2.33333333333333
107,3.2,2.8,3.4,3.16666666666667
108,1.8,3.7,1.8,4.33333333333333
109,2.2,4.1,1.2,2.83333333333333
110,2.6,3.2,2,2.5
111,3,4,2.2,3
112,1.6,3.5,2,2.83333333333333
113,3.1,2.9,3.2,3.5
114,3.2,2.5,2,3
115,1.3,4.1,2,3
116,2,2,2,2
117,2.1,2.4,3.2,2
118,1.6,3.1,2,2.33333333333333
119,2.4,3,2.2,3
120,2.9,4.3,1.2,1
121,1.7,3.8,2.4,4
122,3.4,3,2.8,2.5
123,2.8,1.4,3.2,3.66666666666667
124,3.6,2,3.6,2.33333333333333
125,2.3,2.7,2.8,3
126,2.5,3.4,2,2.66666666666667
127,1.9,2.9,2.2,3.33333333333333
128,2.1,1.8,2.4,2.66666666666667
129,2.4,2.7,3.2,3
130,3.5,2.9,4,2.5
131,4.6,3.2,3.4,3
132,2.3,2.5,3.8,2
133,3.2,3.1,2.4,2.66666666666667
134,1.3,3.4,2,4
135,1.3,3.8,1.6,2
136,1.6,3.4,3,2.66666666666667
137,2,3.3,2.2,1.33333333333333
138,2.1,2.8,2,2.33333333333333
139,1.3,3,2,2
140,1.7,2.8,2.4,2.33333333333333
141,1.8,2.3,2.8,2.66666666666667
142,2.6,3.1,2,2
143,2,3,2.6,3
144,1,4,1,4.33333333333333
145,2.2,1.6,2.4,2.66666666666667
146,3,2.7,3,3.5
147,1.1,3.6,1.8,3.66666666666667
148,2.1,2.6,2,2
149,3.1,2.3,3.2,3.33333333333333
150,1,5,1,1
151,2.1,2.6,1.8,3.16666666666667
152,1.9,2.1,2.6,2
153,2.7,3.5,2.2,2
154,2,3.8,2,2.16666666666667
155,3,4,1.8,2.83333333333333
156,2.6,1.3,3.2,3.16666666666667
157,2.3,4.9,1,1.83333333333333
158,4,3,2.2,2.5
159,2,2.9,2,2.66666666666667
160,2.8,4.3,1,4
161,3.7,2.2,3.4,3.33333333333333
162,3.6,2.9,3,3.66666666666667
163,2.3,5,1.2,1.66666666666667
164,1.1,2.6,2,2.16666666666667
165,1.9,4.2,2.8,4
166,1.6,2.5,1.6,4
167,1.4,2.1,2,3.33333333333333
168,1.2,4,2,3.33333333333333
169,3.6,3.2,2.8,3.33333333333333
170,2.6,3.3,2.8,2.33333333333333
171,1.6,2.3,2,2.33333333333333
172,2,2.6,2,4.83333333333333
173,4.2,3,1.8,3.33333333333333
174,2.3,3.3,3.2,3.83333333333333
175,2.1,2.7,2.4,2.66666666666667
176,1.3,2.1,2.2,2.66666666666667
177,2.3,3.9,1.8,2.5
178,3.5,2.9,3.6,3.33333333333333
179,2.6,4.7,2,3
180,3.3,3.4,2,2.16666666666667
181,2.7,3.5,2.4,3
182,1.4,3.3,1.2,1.33333333333333
183,3.8,3.3,2.6,1.33333333333333
184,3.6,4.8,2.4,3.83333333333333
185,3.5,3.5,1.6,2.83333333333333
186,2.4,5,2.4,3.66666666666667
187,3.1,4.1,2.2,3
188,1.5,3.2,2.6,3.5
189,2,3.2,2,3.33333333333333
190,1.5,4,1.2,2
191,1.4,3.8,2.4,1.83333333333333
192,4.2,2.9,3,4
193,2.5,2.5,3.6,1.66666666666667
194,2.2,1.2,2.2,3
195,1.2,3.9,2.4,2.33333333333333
196,1.8,3.3,2.8,4
197,2.1,2.5,2.8,3.33333333333333
198,1,4.5,1,1.16666666666667
199,2,2.1,3,2
200,4.6,2.4,2.2,4.33333333333333
201,2.5,3.2,2,2
202,1,4,2,1
203,2.5,2.4,2.4,3.33333333333333
204,3.2,3.6,2.4,3
205,1.9,2.9,2,3.16666666666667
206,2.4,2.7,2.6,4.16666666666667
207,2.5,2.9,2.6,3
208,3.8,2.6,3.4,3.5
209,2.4,3.3,2,3.16666666666667
210,1.1,3.5,2,4
211,1.2,2.3,2.4,4
212,2,2.5,2.8,4
213,2.3,2.6,3.4,2
214,2.1,3.4,2,2.33333333333333
215,3.7,3.6,2.8,4.5
216,2.5,2.6,2.6,2.33333333333333
217,1.4,2.8,2,4
218,2.4,2.6,3,2.83333333333333
219,3.7,2.1,3.2,3.66666666666667
220,1,3.2,2,3.66666666666667
221,3.8,2,3,2.5
222,3.1,3.5,1.6,1.5
223,3.8,3,3.2,4.16666666666667
224,3.6,1,3.8,2.16666666666667
225,2.5,2.3,3.6,2.66666666666667
226,2.7,3.9,2.2,2
227,4.5,1.4,3.8,3
228,3.1,3.9,2,3
229,2.6,3,2.6,1.5
230,2.9,3.2,1.8,4
231,1.7,2.9,2.4,3
232,2.1,3.3,2,2.5
233,2.7,3.2,2,3.33333333333333
234,2.5,3.2,2.2,2.5
235,2,2.4,2.4,3.66666666666667
236,2.6,2.7,2.4,2.66666666666667
237,2,3.5,1,2.33333333333333
238,2.5,1.6,3.4,2.83333333333333
239,1.8,2.3,2.4,2.66666666666667
240,2,3.5,2.4,2.83333333333333
241,1.3,3.9,1.8,2.83333333333333
242,2.7,2.1,2.8,3
243,1.4,5,1.8,3.66666666666667
244,2.5,4.6,2.2,2.33333333333333
245,1,2.4,1.8,4.16666666666667
246,2,3.8,1.6,1.83333333333333
247,2.4,3.3,3.4,2
248,1.2,4,1.8,2.66666666666667
249,2.4,4.1,2.4,2.66666666666667
250,3.5,1.4,4.2,3.33333333333333
251,2,3.4,1,3
252,1.8,2.6,2,3.33333333333333
253,3.6,3.2,2.2,1.66666666666667
254,2.3,1.9,2.4,2
255,2.2,4.8,1.4,1
256,2.6,3.3,2,2.66666666666667
257,2.8,3.4,2,2
258,3.7,2.8,4,3.5
259,3.5,3.7,2.6,3.5
260,2.5,2.7,4.4,3
261,1.8,3.8,2,2.33333333333333
262,1.3,2.6,2,3.33333333333333
263,1,3.3,2.8,3.83333333333333
264,1.7,2.5,2,2
265,3.2,3.1,3.6,2.66666666666667
266,2.5,3.1,2.8,2.66666666666667
267,2.8,3.4,2,2.66666666666667
268,2.5,4.1,2.2,2
269,1.6,3.6,2,2.33333333333333
270,2.7,3.2,1.6,3.16666666666667
271,1,3.6,1,1.66666666666667
272,1.1,3.9,1.4,3.16666666666667
273,1.8,4,1.4,2.33333333333333
274,4,3.9,2.2,2.5
275,1.1,2.9,2.4,2
276,2.3,2.8,2.8,2
277,2.4,3,1.8,2.83333333333333
278,1.2,2.1,3,2.5
279,1,4,2,4.5
280,1.1,5,1,2
281,1.8,3.6,2,2
282,2,4.5,1.4,1.66666666666667
283,1.8,2.7,2.8,3.33333333333333
284,3,3,3,3
285,1.3,4.6,1,3.16666666666667
286,1,3.8,1.6,2.16666666666667
287,2.8,2.9,2.4,4.33333333333333
288,2.3,3.2,2,3.16666666666667
289,2.2,2.3,2.6,3
290,3.6,3.5,2.6,2.33333333333333
291,2.4,4,1.6,2
292,2.3,3,2.6,3.33333333333333
293,3.4,3.6,2.4,4
