ID,gender,friend1,friend2,selfest1,selfest2,selfest3,lifesat1,lifesat2,lifesat3,friend_m,selfest_m,lifesat_m
329,2,2,2,2,2,3,3,3,2,2,2.333333,2.666667
330,2,3,3,4,3,2,3,3,3,3,3,3
331,2,3,3,2,3,4,4,3,3,3,3,3.333333
332,2,3,3,3,3,3,3,2,3,3,3,2.666667
333,1,3,3,3,3,3,3,3,3,3,3,3
334,1,3,3,2,2,2,3,2,3,3,2,2.666667
335,1,4,4,4,4,4,4,4,4,4,4,4
336,1,3,3,3,2,3,3,3,3,3,2.666667,3
337,1,3,3,3,3,3,3,3,3,3,3,3
338,1,3,4,4,3,4,3,3,3,3.5,3.666667,3
339,1,3,3,2,3,3,2,3,3,3,2.666667,2.666667
340,1,4,4,4,4,4,4,4,4,4,4,4
341,1,3,2,4,2,3,4,3,4,2.5,3,3.666667
342,1,3,3,3,3,3,3,3,3,3,3,3
343,1,3,3,3,3,3,3,3,4,3,3,3.333333
344,1,4,2,4,3,4,4,3,4,3,3.666667,3.666667
345,1,3,3,4,3,3,4,3,3,3,3.333333,3.333333
346,1,3,3,3,3,3,3,3,3,3,3,3
347,2,3,3,3,3,4,4,3,4,3,3.333333,3.666667
348,2,4,4,4,3,3,3,1,3,4,3.333333,2.333333
349,2,3,3,2,2,2,2,1,2,3,2,1.666667
350,2,2,1,3,3,3,3,2,3,1.5,3,2.666667
351,2,2,2,3,2,2,2,1,2,2,2.333333,1.666667
352,2,3,3,3,3,4,3,2,3,3,3.333333,2.666667
353,2,3,4,3,2,2,3,2,3,3.5,2.333333,2.666667
354,2,3,3,2,2,3,3,2,2,3,2.333333,2.333333
355,2,4,4,4,2,3,4,3,4,4,3,3.666667
356,2,4,4,4,4,4,4,4,4,4,4,4
357,2,3,3,4,4,4,4,3,4,3,4,3.666667
358,2,3,3,3,3,3,3,3,4,3,3,3.333333
359,2,3,3,3,3,3,3,2,3,3,3,2.666667
360,2,3,3,3,3,3,3,4,3,3,3,3.333333
361,2,3,3,3,3,3,3,2,3,3,3,2.666667
362,2,3,4,4,3,3,3,3,3,3.5,3.333333,3
363,2,4,4,4,3,4,4,3,4,4,3.666667,3.666667
364,2,4,4,3,3,4,4,3,4,4,3.333333,3.666667
365,2,4,2,3,3,4,4,3,4,3,3.333333,3.666667
366,2,3,3,3,2,3,3,2,4,3,2.666667,3
367,2,4,4,4,3,4,4,4,4,4,3.666667,4
368,2,3,3,3,3,2,2,2,2,3,2.666667,2
369,2,4,4,4,3,4,4,3,4,4,3.666667,3.666667
370,2,4,4,3,3,3,3,3,3,4,3,3
371,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
372,2,4,4,3,3,3,2,2,2,4,3,2
373,2,3,3,3,3,3,3,3,3,3,3,3
374,2,4,4,3,3,4,4,2,4,4,3.333333,3.333333
375,2,3,3,2,2,2,3,2,2,3,2,2.333333
376,2,4,4,4,3,4,4,4,4,4,3.666667,4
377,2,3,3,3,3,4,3,2,3,3,3.333333,2.666667
378,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
379,2,3,3,2,2,2,3,1,3,3,2,2.333333
380,2,3,3,3,2,3,3,3,3,3,2.666667,3
381,1,2,3,2,1,2,3,3,3,2.5,1.666667,3
382,1,4,3,4,4,4,4,3,4,3.5,4,3.666667
383,1,2,2,3,2,3,2,2,2,2,2.666667,2
384,1,3,3,4,2,4,3,3,3,3,3.333333,3
385,1,3,2,4,4,4,4,4,4,2.5,4,4
386,1,4,3,3,3,3,4,2,4,3.5,3,3.333333
387,1,3,3,3,2,3,4,3,3,3,2.666667,3.333333
388,1,4,4,3,3,3,3,3,3,4,3,3
389,1,3,2,2,2,2,2,2,2,2.5,2,2
390,1,3,3,3,3,3,3,3,3,3,3,3
391,1,3,3,2,2,2,2,2,2,3,2,2
392,1,3,3,4,2,4,4,2,4,3,3.333333,3.333333
393,1,3,3,1,1,3,3,2,3,3,1.666667,2.666667
394,1,4,4,3,3,3,4,2,4,4,3,3.333333
395,1,3,3,3,3,3,3,3,3,3,3,3
396,1,3,3,4,3,3,4,4,4,3,3.333333,4
397,1,3,3,3,3,3,3,2,3,3,3,2.666667
398,1,3,3,4,3,4,4,4,4,3,3.666667,4
399,1,3,3,4,3,3,4,4,4,3,3.333333,4
400,1,3,3,3,3,2,3,2,3,3,2.666667,2.666667
401,1,3,2,4,3,3,4,2,4,2.5,3.333333,3.333333
402,1,3,3,2,2,2,3,2,3,3,2,2.666667
403,1,2,1,1,1,2,2,2,1,1.5,1.333333,1.666667
404,1,3,3,3,3,3,4,2,3,3,3,3
405,1,3,3,3,3,3,3,4,4,3,3,3.666667
406,1,3,2,3,3,3,2,2,2,2.5,3,2
407,1,3,3,4,3,3,4,4,4,3,3.333333,4
408,1,3,2,3,2,3,4,4,4,2.5,2.666667,4
409,1,3,2,3,3,3,4,3,3,2.5,3,3.333333
410,1,4,4,4,3,4,3,2,3,4,3.666667,2.666667
411,1,2,2,2,2,2,2,2,2,2,2,2
412,1,3,3,4,3,3,3,2,3,3,3.333333,2.666667
413,1,3,3,2,2,3,4,4,3,3,2.333333,3.666667
414,1,3,3,3,3,3,3,3,3,3,3,3
415,2,3,3,2,3,3,3,2,2,3,2.666667,2.333333
416,2,3,3,3,3,3,3,2,3,3,3,2.666667
417,2,3,4,3,4,4,4,2,4,3.5,3.666667,3.333333
418,2,3,4,4,3,3,4,4,4,3.5,3.333333,4
419,2,4,4,4,4,4,4,4,4,4,4,4
420,1,3,3,4,2,3,4,4,4,3,3,4
421,2,3,3,3,3,3,4,2,4,3,3,3.333333
422,2,2,2,3,2,3,2,2,2,2,2.666667,2
423,1,3,3,2,2,3,3,2,3,3,2.333333,2.666667
424,2,3,2,1,2,2,2,2,3,2.5,1.666667,2.333333
425,2,4,3,3,3,3,4,4,4,3.5,3,4
426,2,4,4,4,3,3,3,3,3,4,3.333333,3
427,1,2,1,2,2,3,3,2,2,1.5,2.333333,2.333333
428,2,3,3,3,2,3,3,3,3,3,2.666667,3
429,2,3,3,3,3,3,2,2,2,3,3,2
430,2,3,3,3,3,3,3,3,3,3,3,3
431,1,3,3,4,2,3,3,4,4,3,3,3.666667
432,1,3,3,3,2,2,1,2,1,3,2.333333,1.333333
433,1,4,4,4,2,4,4,4,4,4,3.333333,4
434,1,3,3,4,4,4,4,4,4,3,4,4
435,1,3,3,3,3,3,3,2,2,3,3,2.333333
436,2,3,2,3,3,3,2,3,3,2.5,3,2.666667
437,2,4,2,3,2,3,3,2,4,3,2.666667,3
438,2,3,2,3,2,4,3,2,3,2.5,3,2.666667
439,1,4,4,4,4,4,4,4,4,4,4,4
440,2,2,2,2,3,3,3,1,3,2,2.666667,2.333333
441,1,3,2,3,3,3,3,3,3,2.5,3,3
442,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
443,2,3,1,2,3,3,2,2,2,2,2.666667,2
444,2,2,2,3,3,3,2,3,3,2,3,2.666667
445,2,3,2,2,3,3,2,2,2,2.5,2.666667,2
446,2,2,2,2,2,3,2,2,2,2,2.333333,2
447,2,3,2,2,2,2,3,3,3,2.5,2,3
448,2,3,3,3,3,3,3,2,3,3,3,2.666667
449,2,3,3,3,3,3,3,3,3,3,3,3
450,2,3,3,3,3,3,3,2,2,3,3,2.333333
451,2,4,4,4,3,4,4,3,4,4,3.666667,3.666667
452,2,3,3,2,2,3,2,2,2,3,2.333333,2
453,2,3,3,2,2,2,2,2,2,3,2,2
454,2,3,3,2,2,3,2,2,2,3,2.333333,2
455,2,3,2,3,2,2,2,2,2,2.5,2.333333,2
456,2,3,2,2,3,2,2,2,2,2.5,2.333333,2
457,2,3,2,2,2,2,2,2,2,2.5,2,2
458,2,3,3,4,3,3,3,3,3,3,3.333333,3
459,2,3,3,3,2,3,2,1,3,3,2.666667,2
460,2,3,3,2,3,3,4,3,4,3,2.666667,3.666667
461,2,3,3,2,2,2,3,3,3,3,2,3
462,2,3,3,4,3,3,4,2,4,3,3.333333,3.333333
